n,arm,ms_median,ms_q1,ms_q3
1000,eager,0.2836480140686035,0.27033600211143494,0.33766400814056396
1000,rewrite,0.3031040132045746,0.29900801181793213,0.312063992023468
1000,compile_eager,0.30003198981285095,0.2959359884262085,0.31334400177001953
1000,compile_rewrite,0.30720001459121704,0.29900801181793213,0.31436800956726074
1000,triton,0.449535995721817,0.4423680007457733,0.456447996199131
10000,eager,0.28569599986076355,0.2826240062713623,0.2979840040206909
10000,rewrite,0.3092480003833771,0.3051519989967346,0.319487988948822
10000,compile_eager,0.3409920036792755,0.33484798669815063,0.35225600004196167
10000,compile_rewrite,0.34406399726867676,0.33484798669815063,0.3543039858341217
10000,triton,0.4638719856739044,0.4536319971084595,0.47308799624443054
50000,eager,0.4403199851512909,0.4352000057697296,0.447488009929657
50000,rewrite,0.3184640109539032,0.31436800956726074,0.3315199911594391
50000,compile_eager,0.477183997631073,0.4689919948577881,0.48127999901771545
50000,compile_rewrite,0.3491840064525604,0.3420160114765167,0.3614720106124878
50000,triton,0.34508800506591797,0.3420160114765167,0.35097599774599075
200000,eager,0.9820160269737244,0.9566720128059387,0.9861119985580444
200000,rewrite,0.4055039882659912,0.4037120044231415,0.4106239974498749
200000,compile_eager,0.9390079975128174,0.9297919869422913,0.942080020904541
200000,compile_rewrite,0.3092480003833771,0.30720001459121704,0.3110399916768074
200000,triton,0.35839998722076416,0.35737600922584534,0.36454400420188904
1000000,eager,4.333568096160889,4.3284478187561035,4.356095790863037
1000000,rewrite,1.2861440181732178,1.2799999713897705,1.3094399571418762
1000000,compile_eager,4.236288070678711,4.214015960693359,4.246016144752502
1000000,compile_rewrite,0.8704000115394592,0.8560640215873718,0.9026560187339783
1000000,triton,0.9379839897155762,0.9359359741210938,0.9410560131072998
