n,arm,ms_median,ms_q1,ms_q3
1000,eager,0.2959359884262085,0.29286399483680725,0.3038719967007637
1000,rewrite,0.27750399708747864,0.2734079957008362,0.2887679934501648
1000,compile_eager,0.2969599962234497,0.29183998703956604,0.3031040132045746
1000,compile_rewrite,0.26214399933815,0.2552320063114166,0.27033600211143494
1000,triton,0.3993600010871887,0.39321601390838623,0.40755200386047363
10000,eager,0.4485119879245758,0.44467198848724365,0.4556800127029419
10000,rewrite,0.27033600211143494,0.2682879865169525,0.2821120023727417
10000,compile_eager,0.4607999920845032,0.4559360072016716,0.46668800711631775
10000,compile_rewrite,0.30105599761009216,0.2959359884262085,0.30617600679397583
10000,triton,0.45977601408958435,0.4505600035190582,0.4679679870605469
50000,eager,1.2963839769363403,1.260288029909134,1.3004800081253052
50000,rewrite,0.30822399258613586,0.30617600679397583,0.3161599934101105
50000,compile_eager,1.3127679824829102,1.298687994480133,1.321984052658081
50000,compile_rewrite,0.47411200404167175,0.46720000356435776,0.48102399706840515
50000,triton,0.33689600229263306,0.33484798669815063,0.34278399497270584
200000,eager,4.129792213439941,4.121600151062012,4.151040077209473
200000,rewrite,0.5509120225906372,0.5470719933509827,0.5539839863777161
200000,compile_eager,4.107264041900635,4.097280025482178,4.144896030426025
200000,compile_rewrite,1.0106879472732544,0.9922559857368469,1.0496000051498413
200000,triton,0.4249599874019623,0.42393600940704346,0.4270080029964447
1000000,eager,20.21683120727539,20.052223682403564,20.264703273773193
1000000,rewrite,2.0531198978424072,2.0500481128692627,2.0592639446258545
1000000,compile_eager,20.148223876953125,19.966976165771484,20.170751571655273
1000000,compile_rewrite,4.345856189727783,4.323328018188477,4.368640065193176
1000000,triton,1.44486403465271,1.4407680034637451,1.4469120502471924
