layer,shape,numel,dyn_range,pred_sqnr8_db,pred_sqnr4_db,sqnr8pt_db,sqnr8pc_db,sqnr4pt_db,sqnr4pc_db
encoder.pe.phi.0.weight,64x1,64,2.84,43.8,18.6,43.5,inf,18.9,161.2
encoder.pe.phi.2.weight,64x64,4096,3.85,41.2,16.0,41.2,44.6,16.0,19.4
encoder.pe.phi.4.weight,8x64,512,2.97,43.4,18.2,43.5,45.2,18.1,20.2
encoder.pe.rho.0.weight,64x8,512,2.79,44.0,18.8,43.8,49.0,18.6,23.7
encoder.pe.rho.2.weight,64x64,4096,3.79,41.3,16.1,41.4,44.5,16.0,19.3
encoder.pe.rho.4.weight,32x64,2048,3.43,42.2,17.0,42.1,44.6,17.0,19.3
encoder.in_proj.weight,64x70,4480,3.78,41.3,16.1,41.3,44.4,16.1,19.2
encoder.layers.0.glob.phi.0.weight,64x1,64,2.36,45.4,20.2,45.7,inf,20.8,153.3
encoder.layers.0.glob.phi.2.weight,64x64,4096,3.81,41.3,16.1,41.3,44.6,16.2,19.4
encoder.layers.0.glob.phi.4.weight,8x64,512,2.8,43.9,18.7,43.9,44.5,18.6,19.7
encoder.layers.0.glob.proj.weight,64x512,32768,4.3,40.2,15.0,40.2,42.7,15.0,17.5
encoder.layers.0.ffn.0.weight,256x64,16384,4.79,39.3,14.1,39.3,44.5,14.1,19.3
encoder.layers.0.ffn.2.weight,64x256,16384,4.03,40.8,15.6,40.8,43.2,15.6,18.0
encoder.layers.0.local.W_self.weight,64x64,4096,3.77,41.3,16.2,41.3,44.5,16.1,19.3
encoder.layers.0.local.W_neigh.weight,64x64,4096,3.7,41.5,16.3,41.5,44.6,16.4,19.4
encoder.layers.1.glob.phi.0.weight,64x1,64,2.4,45.2,20.1,45.2,inf,20.3,153.4
encoder.layers.1.glob.phi.2.weight,64x64,4096,3.7,41.5,16.3,41.7,44.4,16.3,19.2
encoder.layers.1.glob.phi.4.weight,8x64,512,3.48,42.0,16.9,42.1,44.1,16.6,18.6
encoder.layers.1.glob.proj.weight,64x512,32768,4.23,40.3,15.2,40.4,42.7,15.2,17.6
encoder.layers.1.ffn.0.weight,256x64,16384,4.62,39.6,14.4,39.5,44.7,14.4,19.5
encoder.layers.1.ffn.2.weight,64x256,16384,4.28,40.2,15.1,40.2,43.2,15.1,18.1
encoder.layers.1.local.W_self.weight,64x64,4096,4.1,40.6,15.4,40.8,44.4,15.4,19.3
encoder.layers.1.local.W_neigh.weight,64x64,4096,3.81,41.3,16.1,41.3,44.9,16.0,19.6
actor_vertex.0.weight,32x64,2048,3.33,42.4,17.2,42.5,44.3,17.4,19.2
actor_vertex.2.weight,1x32,32,1.88,47.4,22.2,47.4,47.4,22.0,22.0
block_embedding.weight,32x32,1024,3.36,42.3,17.2,42.4,45.5,17.1,20.2
actor_block.0.weight,32x96,3072,4.05,40.7,15.5,40.7,44.3,15.5,19.2
actor_block.2.weight,1x32,32,2.14,46.3,21.1,46.7,46.7,22.7,22.7
critic.0.weight,32x64,2048,3.59,41.8,16.6,41.9,44.4,16.6,19.3
critic.2.weight,1x32,32,3.12,43.0,17.8,43.1,43.1,18.4,18.4
