layer,bits,per_channel,drift,inv_perm,inv_rot
ALL,8,False,0.005173,1.30e-07,1.24e-07
ALL,8,True,0.003377,1.25e-07,1.24e-07
ALL,4,False,0.087224,1.26e-07,1.27e-07
ALL,4,True,0.057977,1.34e-07,1.24e-07
pe.phi.0.weight,4,False,0.000291,,
pe.phi.2.weight,4,False,0.000762,,
pe.phi.4.weight,4,False,0.002449,,
pe.rho.0.weight,4,False,0.003856,,
pe.rho.2.weight,4,False,0.013234,,
pe.rho.4.weight,4,False,0.008243,,
in_proj.weight,4,False,0.062925,,
layers.0.glob.phi.0.weight,4,False,0.005408,,
layers.0.glob.phi.2.weight,4,False,0.003963,,
layers.0.glob.phi.4.weight,4,False,0.004232,,
layers.0.glob.proj.weight,4,False,0.006082,,
layers.0.ffn.0.weight,4,False,0.022214,,
layers.0.ffn.2.weight,4,False,0.022867,,
layers.0.local.W_self.weight,4,False,0.034765,,
layers.0.local.W_neigh.weight,4,False,0.016549,,
layers.1.glob.phi.0.weight,4,False,0.001307,,
layers.1.glob.phi.2.weight,4,False,0.0011,,
layers.1.glob.phi.4.weight,4,False,0.002009,,
layers.1.glob.proj.weight,4,False,0.002466,,
layers.1.ffn.0.weight,4,False,0.012027,,
layers.1.ffn.2.weight,4,False,0.016983,,
layers.1.local.W_self.weight,4,False,0.014145,,
layers.1.local.W_neigh.weight,4,False,0.012418,,
