layer,shape,numel,dyn_range,pred_sqnr8_db,pred_sqnr4_db,sqnr8pt_db,sqnr8pc_db,sqnr4pt_db,sqnr4pc_db
encoder.pe.phi.0.weight,64x1,64,2.72,44.2,19.0,44.5,inf,18.8,155.4
encoder.pe.phi.2.weight,64x64,4096,3.87,41.1,15.9,41.2,44.6,15.9,19.5
encoder.pe.phi.4.weight,8x64,512,2.54,44.8,19.6,44.9,45.7,19.7,20.9
encoder.pe.rho.0.weight,64x8,512,4.11,40.6,15.4,40.4,48.5,15.7,23.3
encoder.pe.rho.2.weight,64x64,4096,3.98,40.9,15.7,41.0,44.4,15.7,19.3
encoder.pe.rho.4.weight,32x64,2048,3.22,42.7,17.5,42.7,44.7,17.5,19.4
encoder.in_proj.weight,64x54,3456,4.22,40.4,15.2,40.3,44.6,15.1,19.5
encoder.layers.0.glob.phi.0.weight,64x1,64,3.35,42.4,17.2,42.6,inf,17.2,155.4
encoder.layers.0.glob.phi.2.weight,64x64,4096,3.93,41.0,15.8,41.0,44.4,15.8,19.4
encoder.layers.0.glob.phi.4.weight,8x64,512,3.2,42.8,17.6,42.9,44.1,17.7,19.1
encoder.layers.0.glob.proj.weight,64x512,32768,4.14,40.5,15.3,40.5,42.5,15.3,17.3
encoder.layers.0.ffn.0.weight,256x64,16384,4.13,40.5,15.4,40.5,44.4,15.4,19.2
encoder.layers.0.ffn.2.weight,64x256,16384,4.02,40.8,15.6,40.8,43.1,15.6,17.9
encoder.layers.0.local.W_self.weight,64x64,4096,3.92,41.0,15.8,40.9,44.2,15.9,19.3
encoder.layers.0.local.W_neigh.weight,64x64,4096,4.26,40.3,15.1,40.3,44.6,15.2,19.3
encoder.layers.1.glob.phi.0.weight,64x1,64,2.51,44.9,19.7,44.9,inf,20.9,170.8
encoder.layers.1.glob.phi.2.weight,64x64,4096,3.38,42.3,17.1,42.3,44.5,17.1,19.3
encoder.layers.1.glob.phi.4.weight,8x64,512,2.61,44.5,19.4,44.5,45.5,19.1,20.1
encoder.layers.1.glob.proj.weight,64x512,32768,4.21,40.4,15.2,40.4,42.8,15.2,17.6
encoder.layers.1.ffn.0.weight,256x64,16384,4.19,40.4,15.2,40.4,44.7,15.3,19.6
encoder.layers.1.ffn.2.weight,64x256,16384,3.99,40.8,15.7,40.9,43.2,15.7,18.1
encoder.layers.1.local.W_self.weight,64x64,4096,3.47,42.1,16.9,42.1,44.6,16.9,19.5
encoder.layers.1.local.W_neigh.weight,64x64,4096,4.05,40.7,15.5,40.8,44.3,15.6,19.2
actor_vertex.0.weight,32x64,2048,3.19,42.8,17.6,42.8,44.4,17.6,19.1
actor_vertex.2.weight,1x32,32,1.89,47.3,22.2,48.6,48.6,22.8,22.8
block_embedding.weight,16x32,512,3.0,43.3,18.2,43.4,45.5,18.0,20.0
actor_block.0.weight,32x96,3072,3.77,41.3,16.2,41.3,44.2,16.2,19.0
actor_block.2.weight,1x32,32,2.22,46.0,20.8,47.5,47.5,21.0,21.0
critic.0.weight,32x64,2048,2.99,43.4,18.2,43.2,45.1,18.2,19.6
critic.2.weight,1x32,32,2.36,45.4,20.2,46.5,46.5,20.6,20.6
