layer,bits,per_channel,drift,inv_perm,inv_rot
ALL,8,False,0.012715,2.04e-07,1.81e-07
ALL,8,True,0.005231,1.95e-07,1.83e-07
ALL,4,False,0.190522,2.28e-07,2.01e-07
ALL,4,True,0.114936,1.92e-07,1.71e-07
pe.phi.0.weight,4,False,0.010121,,
pe.phi.2.weight,4,False,0.008205,,
pe.phi.4.weight,4,False,0.02726,,
pe.rho.0.weight,4,False,0.027756,,
pe.rho.2.weight,4,False,0.044025,,
pe.rho.4.weight,4,False,0.030409,,
in_proj.weight,4,False,0.133735,,
layers.0.glob.phi.0.weight,4,False,0.064361,,
layers.0.glob.phi.2.weight,4,False,0.022284,,
layers.0.glob.phi.4.weight,4,False,0.074434,,
layers.0.glob.proj.weight,4,False,0.033577,,
layers.0.ffn.0.weight,4,False,0.023588,,
layers.0.ffn.2.weight,4,False,0.028669,,
layers.0.local.W_self.weight,4,False,0.062135,,
layers.0.local.W_neigh.weight,4,False,0.014235,,
layers.1.glob.phi.0.weight,4,False,0.015323,,
layers.1.glob.phi.2.weight,4,False,0.020292,,
layers.1.glob.phi.4.weight,4,False,0.00587,,
layers.1.glob.proj.weight,4,False,0.004334,,
layers.1.ffn.0.weight,4,False,0.013848,,
layers.1.ffn.2.weight,4,False,0.021229,,
layers.1.local.W_self.weight,4,False,0.018606,,
layers.1.local.W_neigh.weight,4,False,0.008119,,
