layer,shape,numel,dyn_range,pred_sqnr8_db,pred_sqnr4_db,sqnr8pt_db,sqnr8pc_db,sqnr4pt_db,sqnr4pc_db
encoder.pe.phi.0.weight,64x1,64,2.35,45.4,20.3,44.7,inf,20.3,157.2
encoder.pe.phi.2.weight,64x64,4096,3.86,41.1,16.0,41.2,44.6,16.0,19.4
encoder.pe.phi.4.weight,8x64,512,3.3,42.5,17.3,42.5,44.6,17.8,19.5
encoder.pe.rho.0.weight,64x8,512,3.56,41.8,16.7,41.8,47.8,16.6,23.2
encoder.pe.rho.2.weight,64x64,4096,3.99,40.9,15.7,40.9,44.4,15.7,19.2
encoder.pe.rho.4.weight,32x64,2048,3.4,42.2,17.1,42.3,44.6,17.0,19.3
encoder.in_proj.weight,64x46,2944,3.96,40.9,15.7,40.9,44.5,15.7,19.4
encoder.layers.0.glob.phi.0.weight,64x1,64,2.82,43.9,18.7,44.1,inf,19.4,150.1
encoder.layers.0.glob.phi.2.weight,64x64,4096,3.94,41.0,15.8,41.1,44.4,15.8,19.3
encoder.layers.0.glob.phi.4.weight,8x64,512,3.13,42.9,17.8,42.7,44.5,17.5,19.3
encoder.layers.0.glob.proj.weight,64x512,32768,4.33,40.1,15.0,40.1,42.7,14.9,17.5
encoder.layers.0.ffn.0.weight,256x64,16384,4.15,40.5,15.3,40.5,44.5,15.3,19.3
encoder.layers.0.ffn.2.weight,64x256,16384,4.33,40.1,15.0,40.2,43.4,15.0,18.2
encoder.layers.0.local.W_self.weight,64x64,4096,3.87,41.1,15.9,41.2,44.4,16.0,19.3
encoder.layers.0.local.W_neigh.weight,64x64,4096,3.7,41.5,16.3,41.5,44.2,16.4,19.1
encoder.layers.1.glob.phi.0.weight,64x1,64,2.7,44.2,19.1,44.9,159.3,18.9,154.3
encoder.layers.1.glob.phi.2.weight,64x64,4096,3.67,41.6,16.4,41.7,44.3,16.4,19.1
encoder.layers.1.glob.phi.4.weight,8x64,512,2.82,43.9,18.7,43.9,45.4,18.7,19.4
encoder.layers.1.glob.proj.weight,64x512,32768,4.15,40.5,15.3,40.5,42.6,15.4,17.5
encoder.layers.1.ffn.0.weight,256x64,16384,4.23,40.3,15.2,40.4,44.6,15.2,19.5
encoder.layers.1.ffn.2.weight,64x256,16384,4.09,40.6,15.5,40.6,43.5,15.5,18.3
encoder.layers.1.local.W_self.weight,64x64,4096,3.73,41.4,16.3,41.5,44.7,16.3,19.5
encoder.layers.1.local.W_neigh.weight,64x64,4096,3.79,41.3,16.1,41.3,44.4,16.0,19.4
actor_vertex.0.weight,32x64,2048,3.62,41.7,16.5,41.9,44.5,16.5,19.2
actor_vertex.2.weight,1x32,32,1.72,48.2,23.0,49.3,49.3,23.1,23.1
block_embedding.weight,8x32,256,2.98,43.4,18.2,43.7,45.3,18.3,20.2
actor_block.0.weight,32x96,3072,3.3,42.5,17.3,42.5,44.3,17.4,19.0
actor_block.2.weight,1x32,32,2.79,44.0,18.8,44.7,44.7,17.7,17.7
critic.0.weight,32x64,2048,3.36,42.3,17.2,42.3,44.7,17.1,19.7
critic.2.weight,1x32,32,2.61,44.5,19.4,45.0,45.0,21.4,21.4
