layer,bits,per_channel,drift,inv_perm,inv_rot
ALL,8,False,0.002816,1.22e-07,1.08e-07
ALL,8,True,0.001571,1.21e-07,1.08e-07
ALL,4,False,0.04482,1.18e-07,1.05e-07
ALL,4,True,0.032261,1.14e-07,1.12e-07
pe.phi.0.weight,4,False,0.005004,,
pe.phi.2.weight,4,False,0.003596,,
pe.phi.4.weight,4,False,0.000121,,
pe.rho.0.weight,4,False,0.000704,,
pe.rho.2.weight,4,False,0.006105,,
pe.rho.4.weight,4,False,0.00675,,
in_proj.weight,4,False,0.029639,,
layers.0.glob.phi.0.weight,4,False,0.001267,,
layers.0.glob.phi.2.weight,4,False,0.002187,,
layers.0.glob.phi.4.weight,4,False,0.003255,,
layers.0.glob.proj.weight,4,False,0.006911,,
layers.0.ffn.0.weight,4,False,0.010422,,
layers.0.ffn.2.weight,4,False,0.015775,,
layers.0.local.W_self.weight,4,False,0.012082,,
layers.0.local.W_neigh.weight,4,False,0.007631,,
layers.1.glob.phi.0.weight,4,False,0.0013,,
layers.1.glob.phi.2.weight,4,False,0.000778,,
layers.1.glob.phi.4.weight,4,False,0.001819,,
layers.1.glob.proj.weight,4,False,0.001407,,
layers.1.ffn.0.weight,4,False,0.006824,,
layers.1.ffn.2.weight,4,False,0.015148,,
layers.1.local.W_self.weight,4,False,0.010004,,
layers.1.local.W_neigh.weight,4,False,0.006988,,
